,daymonth,year,weather,min_temp,max_temp,avg_temp,wind,humidity,cloud,pressure,rain
222,2020-02-08,2013.0,Sunny,7.0,19.0,13.0,8.0,40.0,3.0,1018.0,0
224,2020-02-09,2011.0,Cloudy,5.0,19.0,12.0,9.0,47.0,31.0,1015.0,0
225,2020-02-09,2012.0,Sunny,4.0,15.0,9.5,9.0,34.0,4.0,1019.0,0
227,2020-02-09,2013.0,Sunny,8.0,20.0,14.0,8.0,37.0,1.0,1017.0,0
228,2020-02-09,2009.0,partly cloud,10.0,17.0,13.5,7.0,47.0,40.0,1018.0,0
233,2020-02-10,2010.0,Sunny,3.0,15.0,9.0,6.0,66.0,10.0,1020.0,0
234,2020-02-10,2011.0,partly cloud,5.0,18.0,11.5,9.0,50.0,38.0,1016.0,0
235,2020-02-10,2012.0,Sunny,4.0,17.0,10.5,9.0,32.0,1.0,1018.0,0
237,2020-02-10,2013.0,Sunny,8.0,20.0,14.0,11.0,29.0,1.0,1019.0,0
239,2020-02-11,2010.0,partly cloud,5.0,15.0,10.0,6.0,62.0,40.0,1021.0,0
240,2020-02-11,2011.0,partly cloud,7.0,15.0,11.0,9.0,50.0,47.0,1019.0,1
241,2020-02-11,2012.0,Sunny,6.0,18.0,12.0,10.0,39.0,34.0,1018.0,1
245,2020-02-12,2010.0,Sunny,7.0,18.0,12.5,7.0,61.0,34.0,1020.0,0
249,2020-02-12,2013.0,partly cloudy,9.0,21.0,15.0,9.0,26.0,21.0,1019.0,0
251,2020-02-13,2010.0,Sunny,7.0,18.0,12.5,5.0,59.0,32.0,1019.0,0
255,2020-02-13,2013.0,Sunny,9.0,19.0,14.0,11.0,31.0,18.0,1018.0,0
256,2020-02-14,2009.0,Sunny,8.0,18.0,13.0,7.0,77.0,27.0,1017.0,1
257,2020-02-14,2010.0,Sunny,6.0,18.0,12.0,5.0,59.0,37.0,1016.0,1
259,2020-02-14,2012.0,Sunny,5.0,14.0,9.5,12.0,51.0,9.0,1020.0,0
261,2020-02-14,2013.0,partly cloudy,11.0,20.0,15.5,11.0,48.0,51.0,1017.0,1
262,2020-02-15,2009.0,Sunny,7.0,19.0,13.0,10.0,56.0,2.0,1017.0,0
263,2020-02-15,2010.0,Light rain shower,7.0,12.0,9.5,10.0,78.0,39.0,1015.0,1
266,2020-02-15,2011.0,Sunny,5.0,18.0,11.5,7.0,64.0,2.0,1014.0,1
267,2020-02-15,2012.0,Sunny,4.0,15.0,9.5,8.0,41.0,20.0,1018.0,0
270,2020-02-16,2009.0,Sunny,6.0,20.0,13.0,7.0,52.0,22.0,1017.0,0
271,2020-02-16,2010.0,Sunny,5.0,17.0,11.0,9.0,66.0,12.0,1020.0,1
272,2020-02-16,2011.0,Sunny,5.0,17.0,11.0,9.0,49.0,17.0,1015.0,1
273,2020-02-16,2012.0,Sunny,5.0,16.0,10.5,9.0,34.0,25.0,1019.0,0
275,2020-02-16,2013.0,Sunny,8.0,13.0,10.5,8.0,68.0,45.0,1010.0,1
276,2020-02-17,2009.0,Sunny,9.0,21.0,15.0,7.0,43.0,22.0,1017.0,0
277,2020-02-17,2010.0,Sunny,5.0,19.0,12.0,9.0,57.0,4.0,1021.0,0
278,2020-02-17,2011.0,Sunny,5.0,18.0,11.5,9.0,54.0,19.0,1018.0,1
279,2020-02-17,2012.0,partly cloud,5.0,17.0,11.0,12.0,32.0,49.0,1021.0,0
281,2020-02-17,2013.0,Sunny,6.0,18.0,12.0,6.0,67.0,11.0,1012.0,1
282,2020-02-18,2009.0,Sunny,8.0,22.0,15.0,10.0,44.0,3.0,1017.0,0
283,2020-02-18,2010.0,Sunny,6.0,20.0,13.0,8.0,49.0,7.0,1018.0,0
284,2020-02-18,2011.0,Sunny,5.0,17.0,11.0,8.0,48.0,22.0,1016.0,0
285,2020-02-18,2012.0,partly cloud,8.0,15.0,11.5,12.0,40.0,41.0,1021.0,1
287,2020-02-18,2013.0,Sunny,8.0,19.0,13.5,8.0,53.0,9.0,1016.0,0
291,2020-02-18,2012.0,partly cloudy,8.0,15.0,11.5,12.0,40.0,41.0,1021.0,1
294,2020-02-19,2009.0,Sunny,9.0,22.0,15.5,12.0,46.0,19.0,1015.0,1
295,2020-02-19,2010.0,Sunny,7.0,22.0,14.5,8.0,45.0,14.0,1018.0,0
296,2020-02-19,2011.0,partly cloudy,7.0,17.0,12.0,6.0,50.0,46.0,1019.0,1
297,2020-02-19,2013.0,Sunny,9.0,19.0,14.0,10.0,36.0,24.0,1016.0,1
299,2020-02-20,2010.0,Sunny,8.0,23.0,15.5,8.0,46.0,14.0,1018.0,0
300,2020-02-20,2011.0,Sunny,7.0,13.0,10.0,7.0,72.0,42.0,1020.0,1
303,2020-02-20,2013.0,Sunny,9.0,21.0,15.0,10.0,36.0,18.0,1018.0,1
304,2020-02-21,2009.0,Sunny,9.0,21.0,15.0,9.0,48.0,27.0,1019.0,1
305,2020-02-21,2010.0,Sunny,10.0,25.0,17.5,8.0,48.0,7.0,1016.0,0
306,2020-02-21,2011.0,Sunny,4.0,20.0,12.0,9.0,54.0,27.0,1020.0,0
307,2020-02-21,2012.0,Sunny,8.0,16.0,12.0,8.0,66.0,20.0,1012.0,1
309,2020-02-21,2013.0,partly cloudy,9.0,19.0,14.0,11.0,46.0,51.0,1017.0,1
310,2020-02-22,2009.0,Sunny,10.0,19.0,14.5,6.0,67.0,38.0,1013.0,1
311,2020-02-22,2010.0,Sunny,12.0,24.0,18.0,9.0,45.0,29.0,1015.0,0
312,2020-02-22,2011.0,partly cloudy,8.0,20.0,14.0,8.0,42.0,44.0,1018.0,0
313,2020-02-22,2012.0,partly cloudy,9.0,16.0,12.5,13.0,57.0,35.0,1013.0,1
317,2020-02-23,2010.0,Sunny,11.0,24.0,17.5,6.0,48.0,21.0,1013.0,1
319,2020-02-23,2012.0,Sunny,6.0,16.0,11.0,10.0,46.0,10.0,1015.0,1
321,2020-02-23,2013.0,Sunny,9.0,19.0,14.0,9.0,58.0,31.0,1019.0,1
322,2020-02-24,2009.0,Sunny,10.0,22.0,16.0,8.0,69.0,17.0,1011.0,1
323,2020-02-24,2010.0,Sunny,12.0,21.0,16.5,7.0,66.0,34.0,1013.0,1
324,2020-02-24,2011.0,Sunny,6.0,17.0,11.5,8.0,65.0,26.0,1018.0,1
325,2020-02-24,2012.0,Sunny,4.0,16.0,10.0,9.0,36.0,13.0,1017.0,0
327,2020-02-24,2013.0,Sunny,10.0,21.0,15.5,8.0,47.0,10.0,1020.0,0
328,2020-02-25,2009.0,partly cloudy,9.0,20.0,14.5,8.0,46.0,28.0,1012.0,0
329,2020-02-25,2010.0,partly cloudy,11.0,19.0,15.0,8.0,69.0,47.0,1015.0,1
331,2020-02-25,2012.0,Sunny,7.0,18.0,12.5,9.0,34.0,30.0,1017.0,0
333,2020-02-25,2013.0,partly cloudy,11.0,21.0,16.0,8.0,38.0,34.0,1019.0,0
334,2020-03-01,2009.0,Sunny,12.0,22.0,17.0,8.0,30.0,17.0,1013.0,0
335,2020-03-01,2010.0,Sunny,12.0,21.0,16.5,12.0,76.0,27.0,1014.0,1
336,2020-03-01,2011.0,Patchy rain possible,8.0,17.0,12.5,6.0,78.0,34.0,1020.0,1
337,2020-03-01,2012.0,Sunny,9.0,21.0,15.0,11.0,39.0,8.0,1011.0,1
340,2020-03-02,2009.0,Sunny,12.0,27.0,19.5,9.0,37.0,18.0,1014.0,0
341,2020-03-02,2010.0,Sunny,10.0,24.0,17.0,9.0,50.0,3.0,1015.0,0
343,2020-03-02,2012.0,Sunny,9.0,21.0,15.0,11.0,31.0,19.0,1010.0,0
345,2020-03-02,2013.0,Sunny,10.0,25.0,17.5,12.0,35.0,16.0,1018.0,0
346,2020-03-03,2009.0,Thundery outbreaks possible,15.0,27.0,21.0,11.0,49.0,22.0,1010.0,1
349,2020-03-03,2012.0,Sunny,12.0,23.0,17.5,9.0,34.0,24.0,1009.0,1
351,2020-03-03,2013.0,Sunny,12.0,26.0,19.0,9.0,34.0,27.0,1017.0,0
352,2020-03-04,2009.0,Sunny,13.0,27.0,20.0,8.0,48.0,10.0,1011.0,0
355,2020-03-04,2012.0,Patchy rain possible,13.0,21.0,17.0,13.0,58.0,38.0,1010.0,1
357,2020-03-04,2013.0,Sunny,14.0,26.0,20.0,8.0,31.0,25.0,1016.0,0
358,2020-03-05,2009.0,Sunny,12.0,26.0,19.0,9.0,37.0,2.0,1012.0,0
