[[,Unnamed: 0,daymonth_category,daymonth,weather,max_temp,min_temp,wind,rain,humidity,cloud,pressure,year,weathervalue,avg_temp
173,11/17/2020 1:44:35,02/03/2020,02/03/2020,Patchy,12,9,7,2.9,70,62,1022,2012,5,10.5
174,11/17/2020 1:46:09,02/04/2020,02/04/2020,Sunny,21,8,8,0.7,49,15,1017,2009,1,14.5
175,11/17/2020 1:46:35,02/04/2020,02/04/2020,Sunny,21,6,8,0,35,21,1019,2010,1,13.5
176,11/17/2020 1:46:54,02/04/2020,02/04/2020,partly cloud,18,11,12,2.7,64,47,1019,2011,2,14.5
177,11/17/2020 1:47:13,02/04/2020,02/04/2020,Patchy,9,7,10,11.6,80,71,1018,2012,5,8
178,11/17/2020 1:47:37,02/04/2020,02/04/2020,Light,14,9,18,16.7,85,70,1015,2013,8,11.5
179,11/17/2020 1:57:58,02/05/2020,02/05/2020,Overcast,12,8,8,7.2,81,64,1016,2009,6,10
180,11/17/2020 1:58:24,02/05/2020,02/05/2020,Patchy,13,9,8,4.8,71,77,1020,2010,5,11
181,11/17/2020 2:00:35,02/05/2020,02/05/2020,partly cloud,20,9,9,1.4,57,38,1017,2011,2,14.5
182,11/17/2020 2:01:09,02/05/2020,02/05/2020,Sunny,14,5,7,0.4,69,18,1020,2012,1,9.5
183,11/17/2020 2:01:55,02/05/2020,02/05/2020,Thundery outbreaks possible,12,8,15,35.3,91,82,1014,2013,9,10
184,11/17/2020 2:03:12,02/06/2020,02/06/2020,Sunny,16,7,8,1,72,19,1020,2009,1,11.5
185,11/17/2020 2:03:37,02/06/2020,02/06/2020,partly cloud,16,10,4,2.3,81,56,1020,2010,2,13
186,11/17/2020 2:03:57,02/06/2020,02/06/2020,Light,19,10,12,4.6,73,66,1013,2011,8,14.5
187,11/26/2020 2:46:14,02/04/2020,02/04/2020,Sunny,21,8,8,0.7,49,15,1017,2009,1,14.5
188,11/26/2020 2:47:10,02/04/2020,02/04/2020,Sunny,21,6,8,0,35,21,1019,2010,1,13.5
